customer_id,cohort_month,tier,acquisition_channel,signup_date
1,2023-04-01,Basic,Organic,2023-04-08
2,2023-05-01,Pro,Paid,2023-05-29
3,2024-06-01,Basic,Paid,2024-06-01
4,2023-03-01,Basic,Paid,2023-03-01
5,2024-06-01,Basic,Paid,2024-06-18
6,2024-02-01,Basic,Paid,2024-02-26
7,2023-01-01,Pro,Organic,2023-01-14
8,2023-11-01,Basic,Organic,2023-11-25
9,2023-11-01,Basic,Paid,2023-11-12
10,2023-12-01,Pro,Referral,2023-12-24
11,2024-03-01,Pro,Social,2024-03-13
12,2023-03-01,Pro,Referral,2023-03-20
13,2023-12-01,Pro,Referral,2023-12-02
14,2023-08-01,Pro,Social,2023-08-28
15,2023-08-01,Enterprise,Paid,2023-08-15
16,2023-12-01,Basic,Paid,2023-12-22
17,2023-09-01,Pro,Paid,2023-09-03
18,2023-06-01,Pro,Organic,2023-06-15
19,2024-01-01,Basic,Social,2024-01-23
20,2024-06-01,Basic,Paid,2024-06-25
21,2023-02-01,Basic,Organic,2023-02-11
22,2024-01-01,Basic,Organic,2024-01-19
23,2023-11-01,Basic,Paid,2023-11-29
24,2024-03-01,Basic,Organic,2024-03-24
25,2024-06-01,Pro,Referral,2024-06-14
26,2024-01-01,Basic,Social,2024-01-05
27,2024-05-01,Basic,Referral,2024-05-28
28,2023-04-01,Basic,Organic,2023-04-22
29,2024-02-01,Pro,Paid,2024-02-20
30,2024-03-01,Pro,Social,2024-03-28
31,2023-01-01,Pro,Organic,2023-01-29
32,2024-06-01,Pro,Referral,2024-06-11
33,2023-04-01,Basic,Organic,2023-04-01
34,2023-09-01,Enterprise,Referral,2023-09-17
35,2023-04-01,Enterprise,Organic,2023-04-21
36,2024-05-01,Pro,Organic,2024-05-25
37,2023-06-01,Pro,Referral,2023-06-17
38,2023-01-01,Pro,Paid,2023-01-04
39,2023-12-01,Enterprise,Referral,2023-12-10
40,2023-08-01,Basic,Referral,2023-08-03
41,2023-03-01,Pro,Referral,2023-03-25
42,2024-06-01,Pro,Organic,2024-06-16
43,2024-06-01,Basic,Paid,2024-06-20
44,2024-02-01,Enterprise,Social,2024-02-25
45,2023-07-01,Pro,Paid,2023-07-22
46,2023-12-01,Basic,Paid,2023-12-04
47,2023-08-01,Basic,Paid,2023-08-19
48,2024-06-01,Basic,Organic,2024-06-03
49,2023-02-01,Basic,Social,2023-02-28
50,2023-11-01,Basic,Organic,2023-11-22
51,2024-04-01,Basic,Organic,2024-04-29
52,2024-04-01,Basic,Paid,2024-04-14
53,2023-07-01,Basic,Paid,2023-07-12
54,2024-02-01,Basic,Referral,2024-02-02
55,2023-04-01,Basic,Referral,2023-04-26
56,2023-04-01,Basic,Organic,2023-04-15
57,2023-05-01,Basic,Organic,2023-05-08
58,2023-03-01,Basic,Referral,2023-03-18
59,2023-04-01,Basic,Social,2023-04-27
60,2023-01-01,Enterprise,Social,2023-01-28
61,2023-08-01,Basic,Paid,2023-08-07
62,2024-01-01,Enterprise,Organic,2024-01-01
63,2024-01-01,Basic,Referral,2024-01-15
64,2023-10-01,Basic,Social,2023-10-26
65,2024-06-01,Pro,Paid,2024-06-07
66,2023-10-01,Basic,Organic,2023-10-24
67,2024-06-01,Basic,Paid,2024-06-02
68,2024-04-01,Pro,Referral,2024-04-06
69,2023-02-01,Enterprise,Organic,2023-02-06
70,2023-03-01,Pro,Paid,2023-03-08
71,2024-01-01,Basic,Referral,2024-01-08
72,2023-02-01,Pro,Paid,2023-02-19
73,2024-05-01,Basic,Organic,2024-05-22
74,2023-11-01,Basic,Paid,2023-11-22
