order_id,customer_id,order_date,cohort_month,tier,channel,revenue,month_number
1,1,2023-04-08,2023-04-01,Basic,Organic,35.54548653996638,0
2,1,2023-05-08,2023-04-01,Basic,Organic,38.02201563271998,1
3,1,2023-06-07,2023-04-01,Basic,Organic,38.714385811582616,2
4,1,2023-07-07,2023-04-01,Basic,Organic,26.55161345543201,3
5,1,2023-08-06,2023-04-01,Basic,Organic,43.573510594771456,4
6,1,2023-09-05,2023-04-01,Basic,Organic,38.28788240192511,5
7,1,2023-10-05,2023-04-01,Basic,Organic,41.0475061433316,6
8,1,2023-11-04,2023-04-01,Basic,Organic,32.77813376456902,7
9,1,2023-12-04,2023-04-01,Basic,Organic,42.607352543948906,8
10,1,2024-01-03,2023-04-01,Basic,Organic,26.064708358600626,9
11,1,2024-02-02,2023-04-01,Basic,Organic,27.879265940402274,10
12,1,2024-03-03,2023-04-01,Basic,Organic,39.18608110109609,11
13,1,2024-04-02,2023-04-01,Basic,Organic,32.35857381455081,12
14,1,2024-05-02,2023-04-01,Basic,Organic,32.143159933904656,13
15,1,2024-06-01,2023-04-01,Basic,Organic,24.05771676930516,14
16,2,2023-05-29,2023-05-01,Pro,Paid,95.148822507923,0
17,2,2023-06-28,2023-05-01,Pro,Paid,105.89741570216553,1
18,3,2024-06-01,2024-06-01,Basic,Paid,32.79940725221009,0
19,3,2024-07-01,2024-06-01,Basic,Paid,31.957673207386335,1
20,3,2024-07-31,2024-06-01,Basic,Paid,36.22210489768819,2
21,3,2024-08-30,2024-06-01,Basic,Paid,39.35810277924503,3
22,3,2024-09-29,2024-06-01,Basic,Paid,37.03522559432672,4
23,4,2023-03-01,2023-03-01,Basic,Paid,25.793176891760613,0
24,4,2023-03-31,2023-03-01,Basic,Paid,40.25909353580887,1
25,5,2024-06-18,2024-06-01,Basic,Paid,25.480550686966843,0
26,5,2024-07-18,2024-06-01,Basic,Paid,41.303782494085794,1
27,5,2024-08-17,2024-06-01,Basic,Paid,42.897805088627535,2
28,5,2024-09-16,2024-06-01,Basic,Paid,43.11573298735706,3
29,5,2024-10-16,2024-06-01,Basic,Paid,42.88224807160469,4
30,5,2024-11-15,2024-06-01,Basic,Paid,28.958829707227178,5
31,6,2024-02-26,2024-02-01,Basic,Paid,34.82424503880411,0
32,6,2024-03-27,2024-02-01,Basic,Paid,36.40177488134792,1
33,6,2024-04-26,2024-02-01,Basic,Paid,27.01671528331773,2
34,6,2024-05-26,2024-02-01,Basic,Paid,41.372687340233334,3
35,7,2023-01-14,2023-01-01,Pro,Organic,102.3959912489128,0
36,7,2023-02-13,2023-01-01,Pro,Organic,95.11754169566818,1
37,7,2023-03-15,2023-01-01,Pro,Organic,111.6959619475267,2
38,8,2023-11-25,2023-11-01,Basic,Organic,32.35368094465652,0
39,9,2023-11-12,2023-11-01,Basic,Paid,31.865124562457883,0
40,10,2023-12-24,2023-12-01,Pro,Referral,111.54025904699039,0
41,10,2024-01-23,2023-12-01,Pro,Referral,98.67735762900504,1
42,10,2024-02-22,2023-12-01,Pro,Referral,97.0594332641531,2
43,10,2024-03-23,2023-12-01,Pro,Referral,110.0836372366125,3
44,10,2024-04-22,2023-12-01,Pro,Referral,95.20889116871308,4
45,10,2024-05-22,2023-12-01,Pro,Referral,109.57605844185755,5
46,10,2024-06-21,2023-12-01,Pro,Referral,100.01006189823553,6
47,10,2024-07-21,2023-12-01,Pro,Referral,113.30624640457111,7
48,10,2024-08-20,2023-12-01,Pro,Referral,97.92694349361328,8
49,10,2024-09-19,2023-12-01,Pro,Referral,109.40420475431748,9
50,10,2024-10-19,2023-12-01,Pro,Referral,105.35105765116695,10
51,10,2024-11-18,2023-12-01,Pro,Referral,100.04601735580313,11
52,10,2024-12-18,2023-12-01,Pro,Referral,97.34549657309284,12
53,11,2024-03-13,2024-03-01,Pro,Social,110.93018722071399,0
54,11,2024-04-12,2024-03-01,Pro,Social,102.67679758102659,1
55,11,2024-05-12,2024-03-01,Pro,Social,95.76919300787415,2
56,12,2023-03-20,2023-03-01,Pro,Referral,99.11452842003735,0
57,12,2023-04-19,2023-03-01,Pro,Referral,107.30929191968522,1
58,13,2023-12-02,2023-12-01,Pro,Referral,108.77687960021535,0
59,14,2023-08-28,2023-08-01,Pro,Social,105.09610523215329,0
60,14,2023-09-27,2023-08-01,Pro,Social,107.47012268771314,1
61,14,2023-10-27,2023-08-01,Pro,Social,104.29374179991339,2
62,14,2023-11-26,2023-08-01,Pro,Social,111.72568687125441,3
63,14,2023-12-26,2023-08-01,Pro,Social,108.69904385402684,4
64,14,2024-01-25,2023-08-01,Pro,Social,105.88237085198924,5
65,14,2024-02-24,2023-08-01,Pro,Social,95.96172233520527,6
66,14,2024-03-25,2023-08-01,Pro,Social,102.15127807073577,7
67,14,2024-04-24,2023-08-01,Pro,Social,108.48709775673373,8
68,14,2024-05-24,2023-08-01,Pro,Social,108.22431559631755,9
69,14,2024-06-23,2023-08-01,Pro,Social,105.41787256042633,10
70,14,2024-07-23,2023-08-01,Pro,Social,98.41206279412108,11
71,14,2024-08-22,2023-08-01,Pro,Social,110.09995890251129,12
72,14,2024-09-21,2023-08-01,Pro,Social,108.40330847586598,13
73,14,2024-10-21,2023-08-01,Pro,Social,99.63466950464766,14
74,14,2024-11-20,2023-08-01,Pro,Social,113.15991875330492,15
75,14,2024-12-20,2023-08-01,Pro,Social,107.33420888447809,16
76,15,2023-08-15,2023-08-01,Enterprise,Paid,298.71700433267847,0
77,15,2023-09-14,2023-08-01,Enterprise,Paid,312.9847038987736,1
78,15,2023-10-14,2023-08-01,Enterprise,Paid,294.6946897221978,2
79,15,2023-11-13,2023-08-01,Enterprise,Paid,295.550966512961,3
80,15,2023-12-13,2023-08-01,Enterprise,Paid,301.3168869090586,4
81,15,2024-01-12,2023-08-01,Enterprise,Paid,303.99016499603806,5
82,15,2024-02-11,2023-08-01,Enterprise,Paid,313.60275690537213,6
83,15,2024-03-12,2023-08-01,Enterprise,Paid,311.2713420490778,7
84,15,2024-04-11,2023-08-01,Enterprise,Paid,301.8080861145463,8
85,15,2024-05-11,2023-08-01,Enterprise,Paid,307.5027902228479,9
86,15,2024-06-10,2023-08-01,Enterprise,Paid,309.92132068478037,10
87,15,2024-07-10,2023-08-01,Enterprise,Paid,308.24212692602197,11
88,15,2024-08-09,2023-08-01,Enterprise,Paid,313.80728794161246,12
89,15,2024-09-08,2023-08-01,Enterprise,Paid,312.85482831321474,13
90,15,2024-10-08,2023-08-01,Enterprise,Paid,300.7100711087867,14
91,15,2024-11-07,2023-08-01,Enterprise,Paid,313.3410867810144,15
92,15,2024-12-07,2023-08-01,Enterprise,Paid,305.28635339024487,16
93,16,2023-12-22,2023-12-01,Basic,Paid,29.417090265903987,0
94,16,2024-01-21,2023-12-01,Basic,Paid,38.562669037974956,1
95,16,2024-02-20,2023-12-01,Basic,Paid,31.646155351739395,2
96,16,2024-03-21,2023-12-01,Basic,Paid,32.61816036829676,3
97,17,2023-09-03,2023-09-01,Pro,Paid,96.52946318374256,0
98,17,2023-10-03,2023-09-01,Pro,Paid,99.71101417689607,1
99,17,2023-11-02,2023-09-01,Pro,Paid,107.95482717577498,2
100,17,2023-12-02,2023-09-01,Pro,Paid,100.6408084221621,3
101,17,2024-01-01,2023-09-01,Pro,Paid,106.36650763706342,4
102,17,2024-01-31,2023-09-01,Pro,Paid,104.16091139428889,5
103,17,2024-03-01,2023-09-01,Pro,Paid,97.70729547149209,6
104,17,2024-03-31,2023-09-01,Pro,Paid,96.85190751002676,7
105,17,2024-04-30,2023-09-01,Pro,Paid,101.42431410785267,8
106,17,2024-05-30,2023-09-01,Pro,Paid,100.04174104992144,9
107,17,2024-06-29,2023-09-01,Pro,Paid,96.25683344206938,10
108,17,2024-07-29,2023-09-01,Pro,Paid,94.27092478472,11
109,17,2024-08-28,2023-09-01,Pro,Paid,99.52367763768268,12
